SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State
11055,11056.0,TX-00265,BOERNE,78006.0,KENDALL,747912.0,747912.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11055,11056.0,TX-00265,CASTROVILLE,78009.0,MEDINA,111171.0,72946.0,38225.0,69700.0,26400.0,26700.0,16600.0,2008,Texas
11055,11056.0,TX-00265,HAMLIN,79520.0,JONES,4235.0,4235.0,0.0,4300.0,4300.0,0.0,0.0,2008,Texas
11055,11056.0,TX-00265,HOUSTON,77034.0,HARRIS,57525.0,57525.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11055,11056.0,TX-00265,MERKEL,79536.0,TAYLOR,87424.0,76474.0,10950.0,0.0,0.0,0.0,0.0,2008,Texas
11055,11056.0,TX-00265,SAN ANTONIO,78202.0,BEXAR,13147.0,13147.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11055,11056.0,TX-00265,SAN ANTONIO,78211.0,BEXAR,68231.0,57681.0,10550.0,68200.0,57700.0,10500.0,0.0,2008,Texas
11076,11077.0,TX-00267,BEAUMONT,77701.0,JEFFERSON,34508.0,33908.0,600.0,0.0,0.0,0.0,0.0,2008,Texas
11076,11077.0,TX-00267,BEAUMONT,77705.0,JEFFERSON,33779.0,33779.0,0.0,34500.0,33800.0,0.0,700.0,2008,Texas
11076,11077.0,TX-00267,GALVESTON,77554.0,GALVESTON,55633.0,55633.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11076,11077.0,TX-00267,HIGH ISLAND,77623.0,GALVESTON,1627.0,0.0,1627.0,0.0,0.0,0.0,0.0,2008,Texas
11076,11077.0,TX-00267,ORANGE,77630.0,ORANGE,296770.0,253848.0,42922.0,90900.0,64300.0,10500.0,16100.0,2008,Texas
11076,11077.0,TX-00267,PORT ARTHUR,77642.0,JEFFERSON,817628.0,816227.0,1401.0,826500.0,814800.0,1300.0,10400.0,2008,Texas
11076,11077.0,TX-00267,VIDOR,77662.0,ORANGE,9879.0,9879.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11274,11275.0,TX-00287,EDEN,76837.0,CONCHO,240975.0,236555.0,4420.0,150200.0,148200.0,2000.0,0.0,2008,Texas
11304,11305.0,TX-00289,CHILDRESS,79201.0,CHILDRESS,32579.0,32579.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,ALTON,78573.0,HIDALGO,105138.0,105138.0,0.0,30800.0,30000.0,0.0,800.0,2008,Texas
11353,11354.0,TX-00297,ARROYO,78550.0,CAMERON,51210.0,50660.0,550.0,14000.0,14000.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,BROWNSVILLE,78520.0,CAMERON,198654.0,166198.0,32456.0,100300.0,41900.0,9800.0,48600.0,2008,Texas
11353,11354.0,TX-00297,BROWNSVILLE,78521.0,CAMERON,355315.0,328405.0,26910.0,280800.0,22800.0,0.0,258000.0,2008,Texas
11353,11354.0,TX-00297,BROWNSVILLE,78526.0,CAMERON,88639.0,79951.0,8688.0,60000.0,14000.0,3800.0,42200.0,2008,Texas
11353,11354.0,TX-00297,COMBES,78535.0,CAMERON,136545.0,135845.0,700.0,55700.0,0.0,0.0,55700.0,2008,Texas
11353,11354.0,TX-00297,Combes,78535.0,CAMERON,0.0,0.0,0.0,77700.0,0.0,0.0,77700.0,2008,Texas
11353,11354.0,TX-00297,DONNA,78537.0,HIDALGO,25828.0,25828.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,ECOUCH,78538.0,HIDALGO,5890.0,5890.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,EDCOUCH,78538.0,HIDALGO,16688.0,16688.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,EDINBURG,78539.0,HIDALGO,108701.0,100227.0,8474.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,EDINBURG,78541.0,HIDALGO,290577.0,236117.0,54460.0,236100.0,213000.0,4000.0,19100.0,2008,Texas
11353,11354.0,TX-00297,EDINBURG,78542.0,HIDALGO,10833.0,10833.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,HARLINGEN,78550.0,CAMERON,3864025.0,3265302.0,598723.0,2023100.0,1364300.0,209000.0,449800.0,2008,Texas
11353,11354.0,TX-00297,HARLINGEN,78552.0,CAMERON,2234889.0,2017489.0,217400.0,227600.0,163100.0,19300.0,45200.0,2008,Texas
11353,11354.0,TX-00297,HARLINGEN,78552.0,HIDALGO,8713.0,0.0,8713.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LA FERIA,78559.0,CAMERON,309915.0,246893.0,63022.0,88900.0,22100.0,37400.0,29400.0,2008,Texas
11353,11354.0,TX-00297,La Feria,78559.0,CAMERON,405.0,405.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LA JOYA,78560.0,HIDALGO,20085.0,20085.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LA VILLA,78562.0,HIDALGO,24195.0,22345.0,1850.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LAGUNA HEIGHTS,78578.0,CAMERON,2647.0,2647.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LAGUNA VISTA,78578.0,CAMERON,535368.0,496340.0,39028.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LAGUNA VISTA,78758.0,CAMERON,47693.0,47693.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LASARA,78561.0,WILLACY,32408.0,32408.0,0.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LOS FRESNOS,78566.0,CAMERON,94393.0,83393.0,11000.0,31800.0,29600.0,0.0,2200.0,2008,Texas
11353,11354.0,TX-00297,LOS INDIOS,78567.0,CAMERON,5834.0,4984.0,850.0,0.0,0.0,0.0,0.0,2008,Texas
11353,11354.0,TX-00297,LYFORD,78569.0,WILLACY,56700.0,54450.0,2250.0,43200.0,34400.0,2300.0,6500.0,2008,Texas
11353,11354.0,TX-00297,MCALLEN,78501.0,HIDALGO,651696.0,505154.0,146542.0,265800.0,193300.0,72500.0,0.0,2008,Texas
