_id,SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
1,12351,12352,,MN-00027,DODGE CENTER,55927,DODGE,MN,63022,47520,15502,14000,14000,0,0
2,12351,12352,,MN-00027,FARIBAULT,55021,RICE,MN,36153,34353,1800,26700,26200,500,0
3,12351,12352,,MN-00027,HAMMOND,55991,WABASHA,MN,512397,400601,111796,499000,216700,98600,26000
4,12351,12352,,MN-00027,MAZEPPA,55956,WABASHA,MN,158937,142826,16111,158900,142800,16100,0
5,12351,12352,,MN-00027,MILLVILLE,55957,WABASHA,MN,386098,379198,6900,0,0,0,0
6,12351,12352,,MN-00027,NEW RICHLAND,56072,WASECA,MN,174315,106735,67580,0,0,0,0
7,12351,12352,,MN-00027,ORONOCO,55960,OLMSTED,MN,713715,464109,249606,343800,283300,60500,0
8,12351,12352,,MN-00027,OWATONNA,55060,STEELE,MN,711717,545418,166299,588900,249500,42100,5000
9,12351,12352,,MN-00027,PINE ISLAND,55963,GOODHUE,MN,120190,117990,2200,120200,118000,2200,0
10,12351,12352,,MN-00027,ROCHESTER,55904,OLMSTED,MN,19845,12345,7500,19900,12400,7500,0
11,12351,12352,,MN-00027,ST JAMES,56081,WATONWAN,MN,176669,176669,0,227400,176700,0,50700
12,12351,12352,,MN-00027,TRUMAN,56088,MARTIN,MN,11355,9280,2075,0,0,0,0
13,12351,12352,,MN-00027,ZUMBRO FALLS,55991,WABASHA,MN,1698699,1255071,443628,604800,420900,129500,54400
14,12353,12354,1942,NC-00030,AHOSKIE,27910,BERTIE,NC,23942,13718,10224,0,0,0,0
15,12353,12354,1942,NC-00030,AHOSKIE,27910,HERTFORD,NC,48072,9581,38491,0,0,0,0
16,12353,12354,1942,NC-00030,AULANDER,27805,BERTIE,NC,8736,8736,0,8800,8800,0,0
17,12353,12354,1942,NC-00030,BURGAW,28425,PENDER,NC,131623,102223,29400,0,0,0,0
18,12353,12354,1942,NC-00030,COLUMBIA,27925,TYRRELL,NC,106632,1632,105000,106700,1700,105000,0
19,12353,12354,1942,NC-00030,COVE CITY,28523,CRAVEN,NC,7191,4031,3160,0,0,0,0
20,12353,12354,1942,NC-00030,DOVER,28526,CRAVEN,NC,0,0,0,72900,0,0,72900
21,12353,12354,1942,NC-00030,HUBERT,28539,ONSLOW,NC,11079,9579,1500,0,0,0,0
22,12353,12354,1942,NC-00030,JACKSONVILLE,28540,ONSLOW,NC,10979,10979,0,0,0,0,0
23,12353,12354,1942,NC-00030,JACKSONVILLE,28546,ONSLOW,NC,103065,29965,73100,153500,0,71500,82000
24,12353,12354,1942,NC-00030,MAYSVILLE,28555,JONES,NC,72633,72333,300,0,0,0,0
25,12353,12354,1942,NC-00030,NEW BERN,28560,CRAVEN,NC,88315,88315,0,16000,14000,0,2000
26,12353,12354,1942,NC-00030,NEW BERN,28562,CRAVEN,NC,25005,23205,1800,14000,14000,0,0
27,12353,12354,1942,NC-00030,NEW BERN,28563,CRAVEN,NC,32331,32331,0,32400,32400,0,0
28,12353,12354,1942,NC-00030,PLYMOUTH,27962,WASHINGTON,NC,265637,217957,47680,102200,36600,39100,26500
29,12353,12354,1942,NC-00030,ROCKY POINT,28457,PENDER,NC,1200,0,1200,0,0,0,0
30,12353,12354,1942,NC-00030,SUPPLY,28462,BRUNSWICK,NC,37107,37107,0,0,0,0,0
31,12353,12354,1942,NC-00030,SWANSBORO,28584,ONSLOW,NC,115,0,115,0,0,0,0
32,12353,12354,1942,NC-00030,TRENTON,28585,JONES,NC,44225,44225,0,44300,44300,0,0
33,12353,12354,1942,NC-00030,VANCEBORO,28586,CRAVEN,NC,287212,287212,0,250600,250600,0,0
34,12353,12354,1942,NC-00030,WASHINGTON,27889,BEAUFORT,NC,565728,507040,58688,28000,25400,2600,0
35,12353,12354,1942,NC-00030,WILLIAMSTON,27892,MARTIN,NC,13653,13653,0,0,0,0,0
36,12353,12354,1942,NC-00030,WILMINGTON,28401,NEW HANOVER,NC,31329,31329,0,23200,23200,0,0
37,12353,12354,1942,NC-00030,WILMINGTON,28403,NEW HANOVER,NC,10679,10679,0,7400,7400,0,0
38,12353,12354,1942,NC-00030,WINDSOR,27983,BERTIE,NC,823528,540348,283180,150300,61900,88400,0
39,12353,12354,1942,NC-00030,WINTON,27986,HERTFORD,NC,7457,7457,0,7500,7500,0,0
40,12357,12358,,CT-00016,BRIDGEPORT,6604,FAIRFIELD,CT,102197,47220,54977,38900,0,38900,0
41,12357,12358,,CT-00016,BRIDGEPORT,6608,FAIRFIELD,CT,158521,156641,1880,0,0,0,0
42,12357,12358,,CT-00016,MONROE,6468,FAIRFIELD,CT,13752,0,13752,0,0,0,0
43,12366,12367,,PR-00011,PATILLAS,723,PATILLAS,PR,103748,90765,12983,0,0,0,0
44,12366,12367,,PR-00011,UTUADO,641,UTUADO,PR,37810,26510,11300,0,0,0,0
45,12373,12374,,CA-00161,ROSEVILLE,95678,PLACER,CA,249815,73397,176418,47700,0,47700,0
46,12377,12378,,TX-00363,ARLINGTON,76013,TARRANT,TX,751697,738717,12980,884100,721800,0,10000
47,12377,12378,,TX-00363,BELTON,76513,BELL,TX,602018,321249,280769,481500,245200,217800,18500
48,12377,12378,,TX-00363,DALLAS,75203,DALLAS,TX,13750,13750,0,0,0,0,0
49,12377,12378,,TX-00363,DALLAS,75216,DALLAS,TX,32798,31798,1000,32800,31800,1000,0
50,12377,12378,,TX-00363,EULESS,76039,TARRANT,TX,19444,0,19444,0,0,0,0
51,12377,12378,,TX-00363,FLOWER MOUND,75028,DENTON,TX,80353,1138,79215,78900,1200,77700,0
52,12377,12378,,TX-00363,FOREST HILL,76119,TARRANT,TX,117448,117448,0,117500,117500,0,0
53,12377,12378,,TX-00363,GEORGETOWN,78626,WILLIAMSON,TX,236349,140922,95427,242900,140500,90300,12100
54,12377,12378,,TX-00363,GEORGETOWN,78628,WILLIAMSON,TX,61623,61208,415,66900,56600,400,9900
55,12377,12378,,TX-00363,KILLEEN,76542,BELL,TX,167298,41950,125348,0,0,0,0
56,12377,12378,,TX-00363,NOLANVILLE,76559,BELL,TX,194416,51891,142525,0,0,0,0
57,12377,12378,,TX-00363,ROUND ROCK,78681,WILLIAMSON,TX,162177,90174,72003,28100,20400,0,7700
58,12377,12378,,TX-00363,SALADO,76571,BELL,TX,399490,357295,42195,246200,204000,42200,0
59,12389,12390,,PA-00035,CHESTER,19013,DELAWARE,PA,172589,172589,0,0,0,0,0
60,12389,12390,,PA-00035,CLIFTON HEIGHTS,19018,DELAWARE,PA,1835481,1812064,23417,0,0,0,0
61,12389,12390,,PA-00035,DARBY,19023,DELAWARE,PA,377757,296874,80883,0,0,0,0
62,12389,12390,,PA-00035,KING OF PRUSSIA,19406,MONTGOMERY,PA,42773,19351,23422,0,0,0,0
63,12389,12390,,PA-00035,SHARON HILL,19079,DELAWARE,PA,36140,35290,850,36200,35300,900,0
64,12389,12390,,PA-00035,UPLAND,19015,DELAWARE,PA,12108,10633,1475,0,0,0,0
65,12391,12392,,NC-00031,VALE,28168,LINCOLN,NC,306490,206223,100267,233100,190800,20000,22300
66,12418,12419,,VI-00006,CHRISTIANSTED,820,SAINT CROIX,VI,173910,128134,45776,0,0,0,0
67,12454,12455,,MO-00046,ELLISVILLE,63011,SAINT LOUIS,MO,85342,81042,4300,84700,81100,3600,0
68,12454,12455,,MO-00046,SAINT LOUIS,63127,SAINT LOUIS,MO,606068,589539,16529,748100,570700,9200,168200
69,12459,12460,,CA-00162,APPLE VALLEY,92307,SAN BERNARDINO,CA,362408,308783,53625,365600,305100,53600,6900
70,12459,12460,,CA-00162,ARROYO GRANDE,93420,SAN LUIS OBISPO,CA,82169,81804,365,90500,81900,400,8200
71,12459,12460,,CA-00162,BAKERSFIELD,93303,KERN,CA,70114,56414,13700,0,0,0,0
72,12459,12460,,CA-00162,BAKERSFIELD,93307,KERN,CA,120086,120086,0,0,0,0,0
73,12459,12460,,CA-00162,BEAVER DAM,86432,MOHAVE,AZ,271333,271333,0,0,0,0,0
74,12459,12460,,CA-00162,CAYUCOS,93430,SAN LUIS OBISPO,CA,56537,55787,750,0,0,0,0
75,12459,12460,,CA-00162,CORONA,92880,RIVERSIDE,CA,381446,365366,16080,0,0,0,0
76,12459,12460,,CA-00162,CORONA,92882,RIVERSIDE,CA,4394,4394,0,1400,1400,0,0
77,12459,12460,,CA-00162,COSTA MESA,92627,ORANGE,CA,173123,173123,0,173200,173200,0,0
78,12459,12460,,CA-00162,EAST HIGHLAND,92346,SAN BERNARDINO,CA,12746,12746,0,13200,12800,0,400
79,12459,12460,,CA-00162,FALLBROOK,92028,SAN DIEGO,CA,17335,17335,0,17400,17400,0,0
80,12459,12460,,CA-00162,HIGHLAND,92346,SAN BERNARDINO,CA,271293,271293,0,246400,246400,0,0
81,12459,12460,,CA-00162,LA MESA,91942,SAN DIEGO,CA,38460,38460,0,38500,38500,0,0
82,12459,12460,,CA-00162,LAGUNA BEACH,92651,ORANGE,CA,1476986,1175054,301932,194100,118000,38600,37500
83,12459,12460,,CA-00162,LAGUNA BEACH,92652,ORANGE,CA,71179,60504,10675,67600,60500,7100,0
84,12459,12460,,CA-00162,LAKE ARROWHEAD,92352,SAN BERNARDINO,CA,29090,29090,0,29100,29100,0,0
85,12459,12460,,CA-00162,LITTLEFIELD,86432,MOHAVE,AZ,167832,164832,3000,167900,164900,3000,0
86,12459,12460,,CA-00162,LOMA LINDA,92354,SAN BERNARDINO,CA,26928,26928,0,0,0,0,0
87,12459,12460,,CA-00162,NIPOMO,93444,SAN LUIS OBISPO,CA,50049,50049,0,53000,50100,0,2900
88,12459,12460,,CA-00162,OCEANO,93445,SAN LUIS OBISPO,CA,68347,63947,4400,0,0,0,0
89,12459,12460,,CA-00162,OCEANSIDE,92057,SAN DIEGO,CA,50399,50399,0,50400,50400,0,0
90,12459,12460,,CA-00162,OCEANSIDE,92058,SAN DIEGO,CA,6000,6000,0,0,0,0,0
91,12459,12460,,CA-00162,ONTARIO,91764,SAN BERNARDINO,CA,52941,52941,0,0,0,0,0
92,12459,12460,,CA-00162,ORANGE,92676,ORANGE,CA,76524,75524,1000,76600,75600,1000,0
93,12459,12460,,CA-00162,ORO GRANDE,92368,SAN BERNARDINO,CA,203604,178104,25500,0,0,0,0
94,12459,12460,,CA-00162,SAN CLEMENTE,92672,ORANGE,CA,9600,9600,0,9600,9600,0,0
95,12459,12460,,CA-00162,SAN DIEGO,92105,SAN DIEGO,CA,11328,11328,0,14300,11400,0,2900
